시장명,지자체,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
망원동월드컵시장,서울마포구,망원2동,상설장,50,매일,"농산물,축산물,수산물,가공식품",Y,N,37.55873145,126.9050809,9,803,344331,428,1,1,1,1,1,1,1,100,1,1,1,2
망원시장,서울마포구,망원1동,상설장,79,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.55715742,126.9059941,9,803,344331,428,1,1,1,1,1,1,1,100,1,1,1,2
서교시장,서울마포구,서교동,상설장,63,매일,"축산물,의류/신발,기타소매업,근린생활서비스",Y,Y,37.55351606,126.9217154,9,803,344331,428,1,1,1,1,1,1,1,100,1,1,2,1
아현시장,서울마포구,아현동,상설장,150,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,N,37.55640684,126.9550808,9,803,344331,428,1,2,1,1,1,1,1,80,1,1,1,2
영진시장,서울마포구,서교동,상설장,61,매일,"가공식품,기타소매업",Y,Y,37.55346487,126.9126921,9,803,344331,428,1,2,1,1,1,1,1,90,1,1,2,2
백련시장,서울서대문구,남가좌2동,상설장,66,매일,"농산물,축산물,가공식품",Y,Y,37.57700143,126.923101,6,544,303136,557,1,1,1,1,1,1,1,100,1,1,2,2
연희사러가,서울서대문구,연희동,상설장,30,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.56715459,126.9296612,6,544,303136,557,1,1,1,1,1,1,1,100,1,1,2,2
영천시장,서울서대문구,천연동,상설장,135,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,N,37.57034953,126.9618663,6,544,303136,557,1,1,1,1,1,1,1,100,1,1,1,2
유진상가,서울서대문구,홍제3동,상설장,67,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.59163153,126.9430423,6,544,303136,557,1,1,1,1,1,1,1,70,1,1,2,2
인왕시장,서울서대문구,홍제3동,상설장,158,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.59121811,126.9433194,6,544,303136,557,1,1,1,1,1,1,1,90,1,1,1,2
남부종합시장,서울서초구,방배본동,상설장,134,매일,"가공식품,기타소매업,근린생활서비스",Y,Y,37.49499219,126.9848056,2,165,361167,2188,1,1,1,1,1,1,1,90,1,1,1,2
양재시장,서울서초구,양재1동,상설장,31,매일,"의류/신발,기타소매업",Y,N,37.48431085,127.037966,2,165,361167,2188,1,2,1,1,1,1,1,100,2,1,2,2
금남시장,서울성동구,금호2.3가동,상설장,104,매일,"농산물,축산물,의류/신발,음식점업,기타소매업",Y,Y,37.54862725,127.0230332,4,2312,271897,117,1,1,1,1,1,1,1,100,1,1,1,2
뚝도시장,서울성동구,성수2가1동,상설장,133,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.53780064,127.054827,4,2312,271897,117,1,1,1,1,1,1,1,100,1,1,1,2
마장축산물시장,서울성동구,마장동,상설장,1900,매일,"축산물,가공식품",Y,Y,37.57068248,127.0412753,4,2312,271897,117,1,1,1,1,1,1,1,100,1,1,1,2
용답상가시장,서울성동구,용답동,상설장,175,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.56416885,127.0525388,4,2312,271897,117,1,2,1,1,1,1,1,90,1,2,2,2
길음시장,서울성북구,길음1동,상설장,138,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,37.60278063,127.021592,6,574,399535,696,1,2,1,1,1,1,1,90,1,1,1,2
돈암시장,서울성북구,삼선동,상설장,106,매일,"농산물,축산물,가공식품,기타소매업",Y,N,37.5916663,127.0157124,6,574,399535,696,1,1,1,1,1,1,1,100,1,1,1,2
돌곶이시장(구 석관황금시장),서울성북구,석관동,상설장,92,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,N,37.60950239,127.0616578,6,574,399535,696,1,2,1,1,1,1,1,100,1,1,1,2
장위전통시장,서울성북구,장위2동,상설장,64,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.61033453,127.0513393,6,574,399535,696,1,2,1,1,1,1,1,100,1,2,1,2
정릉시장,서울성북구,정릉4동,상설장,120,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.60847133,127.0096809,6,574,399535,696,1,2,1,1,1,1,1,90,1,1,2,2
정릉아리랑시장,서울성북구,정릉2동,상설장,54,매일,"농산물,축산물,수산물,가공식품,기타소매업",N,N,37.60276767,127.0110392,6,574,399535,696,1,2,1,1,1,1,2,100,2,2,2,2
마천시장,서울송파구,마천2동,상설장,69,매일,"축산물,의류/신발,근린생활서비스",Y,N,37.49808049,127.1506963,6,671,567783,846,1,1,1,1,1,1,2,100,1,1,1,2
마천중앙시장,서울송파구,마천2동,상설장,139,매일,"농산물,축산물,수산물,가정용품,음식점업",Y,Y,37.4984143,127.1513355,6,671,567783,846,1,1,1,1,1,1,2,80,1,1,2,2
방이시장,서울송파구,방이2동,상설장,136,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.50995241,127.1178662,6,671,567783,846,1,1,1,1,1,1,2,100,1,1,2,2
새마을시장,서울송파구,잠실본동,상설장,107,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.50908943,127.0849001,6,671,567783,846,1,1,1,1,1,1,1,90,1,1,1,2
석촌시장,서울송파구,석촌동,상설장,60,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,Y,37.50017287,127.1065252,6,671,567783,846,1,1,1,1,1,1,2,100,2,1,2,2
풍납시장,서울송파구,풍납1동,상설장,160,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.53756487,127.1194927,6,671,567783,846,1,1,1,1,1,1,1,90,1,1,2,2
경창시장,서울양천구,신월2동,상설장,50,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.52493416,126.8421214,9,701,362776,517,1,1,1,1,1,1,2,100,1,1,1,2
목2동시장,서울양천구,목2동,상설장,96,매일,"농산물,축산물,가공식품,의류/신발,기타소매업",Y,N,37.5460499,126.8738866,9,701,362776,517,1,1,1,1,1,1,2,95,2,1,1,2
목동깨비시장 (목3동시장),서울양천구,목3동,상설장,105,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.54818453,126.8652286,9,701,362776,517,1,1,1,1,2,2,2,100,1,1,2,2
목사랑시장 (목4동시장),서울양천구,목4동,상설장,85,매일,"농산물,축산물,수산물,가정용품,음식점업",Y,Y,37.53761613,126.866218,9,701,362776,517,1,1,1,1,1,1,1,100,1,1,1,2
신월1동신영시장,서울양천구,신월1동,상설장,127,매일,"농산물,축산물,수산물,의류/신발,가정용품",Y,Y,37.53301405,126.8360249,9,701,362776,517,1,1,1,1,1,1,1,100,1,1,1,2
