,지자체,시장명,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률
809,충북청주시,원마루시장,법적단체,103,120,0.858333333
810,충북청주시,육거리종합시장,법적단체,590,590,1
811,충북청주시,중앙시장,임의단체,55,72,0.763888889
812,충북청주시,직지시장,법적단체,55,66,0.833333333
813,충북청주시,청주두꺼비시장(구수곡시장),법적단체,52,54,0.962962963
814,충북청주시,청주사창시장,법적단체,85,87,0.977011494
815,충북충주시,관아골상가,법적단체,59,87,0.67816092
816,충북충주시,충주농산물종합시장(중앙청과시장),법적단체,185,190,0.973684211
817,충북충주시,목행시장,법적단체,98,105,0.933333333
818,충북충주시,무학시장,법적단체,160,166,0.963855422
819,충북충주시,연원시장,법적단체,58,58,1
820,충북충주시,중앙어울림시장,법적단체,40,43,0.930232558
821,충북충주시,충주옹달샘시장,법적단체,58,67,0.865671642
822,충북충주시,충주자유시장,법적단체,320,408,0.784313725
823,충북충주시,"성서중심시장(성서시장,문화의거리 통합)",법적단체,179,179,1
824,충남공주시,산성시장활성화구역,법적단체,190,318,0.597484277
825,충남공주시,유구시장,법적단체,72,74,0.972972973
826,충남금산군,금산국제인삼시장(금산인삼국제시장),법적단체,203,206,0.985436893
827,충남금산군,금산수삼센타,법적단체,285,293,0.972696246
828,충남금산군,금산금빛시장(금산시장),법적단체,78,81,0.962962963
829,충남금산군,금산약초시장,법적단체,31,35,0.885714286
830,충남금산군,금산인삼쇼핑센타,법적단체,51,54,0.944444444
831,충남금산군,중부프라자,법적단체,15,24,0.625
832,충남논산시,강경대흥시장,법적단체,81,110,0.736363636
833,충남논산시,강경젓갈시장,법적단체,40,140,0.285714286
834,충남논산시,연무안심시장,법적단체,68,95,0.715789474
835,충남논산시,연산전통시장,법적단체,20,61,0.327868852
836,충남논산시,화지중앙시장,법적단체,289,306,0.944444444
837,충남당진시,당진전통시장,법적단체,152,218,0.697247706
838,충남당진시,합덕전통시장,법적단체,64,69,0.927536232
839,충남보령시,동부시장,법적단체,43,57,0.754385965
840,충남보령시,보령중앙시장,법적단체,104,117,0.888888889
841,충남보령시,보령한내시장,법적단체,60,72,0.833333333
842,충남보령시,현대시장(현대상가시장),법적단체,49,49,1
843,충남부여군,부여시장,법적단체,64,100,0.64
844,충남부여군,부여중앙시장,법적단체,70,72,0.972222222
845,충남부여군,홍산시장,법적단체,56,58,0.965517241
846,충남서산시,대산종합시장,법적단체,0,64,0
847,충남서산시,서산동부전통시장(동부시장),법적단체,231,245,0.942857143
848,충남서산시,해미시장,법적단체,44,90,0.488888889
849,충남서산시,해미종합시장,법적단체,41,46,0.891304348
850,충남서천군,서천특화시장,법적단체,263,280,0.939285714
851,충남서천군,장항전통시장,법적단체,74,101,0.732673267
852,충남아산시,둔포전통시장(둔포시장),법적단체,64,89,0.719101124
853,충남아산시,온양온천시장(온양전통시장),법적단체,210,441,0.476190476
854,충남예산군,고덕시장,임의단체,,30,
855,충남예산군,삽교시장,법적단체,10,28,0.357142857
856,충남예산군,역전시장,법적단체,34,39,0.871794872
857,충남예산군,예산상설시장,법적단체,71,110,0.645454545
858,충남예산군,예산시장,법적단체,0,0,
859,충남천안시,천안중앙시장(구 남산중앙시장),법적단체,370,400,0.925
860,충남천안시,병천시장,법적단체,135,150,0.9
861,충남천안시,성정시장,법적단체,60,62,0.967741935
862,충남천안시,성환이화시장,법적단체,50,50,1
863,충남천안시,천안역전시장,법적단체,119,130,0.915384615
864,충남청양군,정산시장,법적단체,52,58,0.896551724
865,충남청양군,청양전통시장,법적단체,74,135,0.548148148
866,충남태안군,안면도수산시장(안면도장터),법적단체,33,33,1
867,충남태안군,태안서부시장,법적단체,146,146,1
868,충남태안군,태안동부시장(태안특산물전통시장),법적단체,108,140,0.771428571
869,충남홍성군,갈산정기시장,법적단체,33,85,0.388235294
870,충남홍성군,광천전통시장,법적단체,163,175,0.931428571
871,충남홍성군,홍성상설시장,법적단체,73,96,0.760416667
872,충남홍성군,홍성전통시장,임의단체,140,220,0.636363636
873,전북고창군,고창전통시장,법적단체,74,75,0.986666667
874,전북고창군,대산전통시장,임의단체,,70,
875,전북고창군,무장전통시장,법적단체,15,25,0.6
876,전북고창군,상하전통시장,법적단체,20,33,0.606060606
877,전북고창군,해리전통시장,법적단체,22,48,0.458333333
878,전북고창군,흥덕전통시장,법적단체,10,25,0.4
879,전북군산시,군산공설시장,법적단체,249,285,0.873684211
880,전북군산시,군산수산물종합센터,임의단체,123,150,0.82
881,전북군산시,군산신영시장,법적단체,80,82,0.975609756
882,전북군산시,군산주공시장,법적단체,39,43,0.906976744
883,전북군산시,대야전통시장,법적단체,53,53,1
884,전북군산시,명산시장,법적단체,68,72,0.944444444
885,전북군산시,역전종합시장,법적단체,98,99,0.98989899
886,전북김제시,금만시장,임의단체,,80,
887,전북김제시,김제전통시장,법적단체,67,75,0.893333333
888,전북김제시,역전시장,법적단체,46,55,0.836363636
889,전북김제시,원평공설시장(김제원평시장),임의단체,,33,
890,전북남원시,남원공설시장,법적단체,120,135,0.888888889
891,전북남원시,남원인월시장,법적단체,45,45,1
892,전북남원시,용남시장,법적단체,95,106,0.896226415
893,전북무주군,무주시장(반딧불장터),법적단체,47,47,1
894,전북무주군,무풍시장(대덕산장터),법적단체,10,10,1
895,전북무주군,설천시장(삼도봉장터),법적단체,13,13,1
896,전북무주군,안성시장(덕유산장터),법적단체,28,30,0.933333333
897,전북부안군,부안상설시장,법적단체,175,190,0.921052632
898,전북부안군,줄포시장,법적단체,19,30,0.633333333
899,전북순창군,동계시장,,,17,
900,전북순창군,복흥시장,,,12,
901,전북순창군,순창시장,법적단체,86,150,0.573333333
902,전북완주군,고산미소시장,법적단체,32,32,1
