시장명,지자체,행정동명,위치위도,위치경도,상점수,가맹점수,가맹률
대명신시장,대구남구,대명3동,35.85802009,128.576886,118,6,5.084745763
대명여울빛거리시장,서울금천구,시흥1동,37.45277308,126.9016494,238,49,20.58823529
대명중앙시장,대구남구,대명6동,35.83680695,128.5677075,70,15,21.42857143
대산전통시장,전북고창군,대산면,35.34010712,126.5989791,70,1,1.428571429
대산종합시장,충남서산시,대산읍,36.93800454,126.4339429,64,11,17.1875
대소시장,충북음성군,대소면,36.9665446,127.4850192,137,21,15.32846715
대송농수산물시장,울산동구,대송동,35.49920876,129.4206489,90,92,102.2222222
대신시장,서울영등포구,신길1동,37.51115621,126.9175856,202,54,26.73267327
대신시장,부산서구,동대신1동,35.1103293,129.0197017,100,54,54
대연시장,부산남구,대연5동,35.13567985,129.0884212,69,3,4.347826087
대원종합시장,서울강서구,화곡3동,37.54448674,126.8364753,40,1,2.5
대인시장,광주동구,충장동,35.15401255,126.9165339,299,160,53.51170569
대전도매시장,대전동구,중앙동,36.3302023,127.4329191,118,40,33.89830508
대조시장,서울은평구,대조동,37.6093215,126.9276,105,99,94.28571429
대천항종합수산물시장,충남보령시,대천5동,36.32660911,126.5061075,136,127,93.38235294
대평리시장,대구서구,평리3동,35.87801117,128.5589346,75,44,58.66666667
덕계종합상설시장,경남양산시,덕계동,35.36975076,129.147156,138,67,48.55072464
덕산시장,경남산청군,시천면,35.27703295,127.8377441,28,5,17.85714286
덕산시장,충남예산군,덕산면,36.7049773,126.6681573,50,5,10
덕신1차시장,울산울주군,온산읍,35.43524439,129.3093518,53,2,3.773584906
덕신2차시장,울산울주군,온산읍,35.42934852,129.3100225,24,4,16.66666667
덕이동패션1번지,경기고양시,덕이동,37.69302055,126.755787,72,27,37.5
덕천시장,부산북구,덕천1동,35.21121581,129.0134028,112,4,3.571428571
덕풍전통시장,경기하남시,덕풍3동,37.54153872,127.202919,140,119,85
도계전두시장,강원삼척시,도계읍,37.22913387,129.0428102,46,12,26.08695652
도깨비시장,전남여수시,쌍봉동,34.7633188,127.6565389,77,29,37.66233766
도남시장,제주제주시,이도2동,33.49681229,126.5284042,99,38,38.38383838
