지자체,시장명,배송서비스,장보기서비스
강원영월군,영월덕포5일장,1,1
강원영월군,서부아침시장,1,1
강원영월군,영월중앙시장,1,1
강원원주시,문막시장,1,1
강원원주시,미로예술원주중앙시장(원주중앙시장),1,1
강원원주시,민속풍물시장,1,1
강원원주시,북원상가시장,1,1
강원원주시,원주남부시장,0,1
인천동구,송현자유시장,1,1
강원원주시,중앙시민전통시장,1,1
강원인제군,기린면5일장,1,1
강원인제군,원통시장,1,1
강원인제군,인제시장,1,1
강원정선군,고한구공탄시장(고한시장),1,1
강원정선군,임계사통팔달시장,1,1
강원정선군,정선사북시장,1,1
강원정선군,정선아리랑시장,1,1
강원철원군,동송시장,1,1
강원철원군,동송전통시장,1,1
강원철원군,신철원시장,1,1
강원철원군,와수시장,1,1
강원춘천시,제일종합시장,1,1
강원춘천시,춘천남부시장,1,1
강원춘천시,춘천동부시장,1,1
강원춘천시,춘천번개시장,1,1
강원춘천시,춘천서부시장,1,1
강원춘천시,춘천중앙시장,1,1
강원춘천시,춘천풍물시장,1,1
강원춘천시,춘천후평시장,1,1
강원태백시,장성중앙시장,1,1
강원원주시,자유시장,1,1
강원평창군,봉평전통시장(봉평시장),1,1
강원평창군,진부전통시장,1,1
