시장명,지자체,시도명,시군구명,시군구명_원본,행정동코드,행정동명,도로명주소코드,도로명주소명,우편번호,격자코드,위치경도,위치위도
목동깨비시장 (목3동시장),서울양천구,서울,양천구,양천구,1147053000,목3동,1.15E+11,서울 양천구 목동중앙북로6길 5,7950,다사439500,126.8652286,37.54818453
목사랑시장 (목4동시장),서울양천구,서울,양천구,양천구,1147054000,목4동,1.15E+11,서울 양천구 목동중앙남로7길 8,7958,다사440488,126.866218,37.53761613
신월1동신영시장,서울양천구,서울,양천구,양천구,1147056000,신월1동,1.15E+11,서울 양천구 월정로 161-5,7922,다사413483,126.8360249,37.53301405
우성상가시장,서울양천구,서울,양천구,양천구,1147061100,신월7동,1.15E+11,서울 양천구 지양로 78,8034,다사411472,126.8335711,37.52265956
월정로시장,서울양천구,서울,양천구,양천구,1147056000,신월1동,1.15E+11,서울 양천구 월정로29길 3,7922,다사413484,126.8356887,37.53347273
대림중앙시장,서울영등포구,서울,영등포구,영등포구,1156071000,대림2동,1.15E+11,서울 영등포구 디지털로 372,7446,다사470436,126.9012678,37.49038353
대신시장,서울영등포구,서울,영등포구,영등포구,1156063000,신길1동,1.16E+11,서울 영등포구 도신로60길 7,7350,다사485459,126.9175856,37.51115621
동남상가,서울영등포구,서울,영등포구,영등포구,1156053500,영등포동,1.16E+11,서울 영등포구 영등포로37길 4,7250,다사474469,126.9056598,37.52059746
삼구시장,서울영등포구,서울,영등포구,영등포구,1156053500,영등포동,1.16E+11,서울 영등포구 영등포로 219,7250,다사474469,126.9057495,37.52014415
영신상가,서울영등포구,서울,영등포구,영등포구,1156053500,영등포동,1.16E+11,서울 영등포구 영등포로 225,7250,다사475469,126.9066547,37.51992006
영일시장,서울영등포구,서울,영등포구,영등포구,1156060500,문래동,1.16E+11,서울 영등포구 문래로30길 27,7300,다사470464,126.9007193,37.51613516
영진시장(A동),서울영등포구,서울,영등포구,영등포구,1156068000,신길6동,1.16E+11,서울 영등포구 신풍로 87,7390,다사483447,126.9158527,37.50044717
만리시장,서울용산구,서울,용산구,용산구,1117055500,청파동,1.12E+11,서울 용산구 효창원로 270,4305,다사526503,126.963696,37.5513334
보광시장,서울용산구,서울,용산구,용산구,1117070000,보광동,1.12E+11,서울 용산구 보광로 30,4415,다사558476,127.0002892,37.52719632
신흥시장,서울용산구,서울,용산구,용산구,1117052000,용산2가동,1.12E+11,서울 용산구 신흥로 95-9,4337,다사545496,126.9850855,37.54532379
용산용문시장,서울용산구,서울,용산구,용산구,1117059000,용문동,1.12E+11,서울 용산구 효창원로40길 13,4363,다사522487,126.9597957,37.53662269
이촌종합시장,서울용산구,서울,용산구,용산구,1117063000,이촌1동,1.12E+11,서울 용산구 이촌로75길 16-9,4423,다사535469,126.9747838,37.52073939
이태원시장,서울용산구,서울,용산구,용산구,1117065000,이태원1동,1.12E+11,서울 용산구 이태원로14길 6,4390,다사549484,126.9900484,37.53381836
후암시장,서울용산구,서울,용산구,용산구,1117051000,후암동,1.12E+11,서울 용산구 한강대로104길 77,4325,다사537502,126.9767077,37.55042316
대림골목시장,서울은평구,서울,은평구,은평구,1138060000,응암3동,1.14E+11,서울 은평구 응암로12길 8,3478,다사485544,126.9175082,37.58791373
대림시장,서울은평구,서울,은평구,은평구,1138060000,응암3동,1.14E+11,서울 은평구 응암로4길 20,3480,다사485542,126.9175785,37.58653706
대조시장,서울은평구,서울,은평구,은평구,1138057000,대조동,1.14E+11,서울 은평구 불광로 8,3397,다사494568,126.9276,37.6093215
신응암시장,서울은평구,서울,은평구,은평구,1138059000,응암2동,1.14E+11,서울 은평구 응암로22길 3-1,3466,다사486551,126.9186943,37.5939075
연서시장,서울은평구,서울,은평구,은평구,1138053000,불광2동,1.14E+11,서울 은평구 연서로 247,3345,다사490579,126.922172,37.61969094
제일시장,서울은평구,서울,은평구,은평구,1138057000,대조동,1.11E+11,서울 은평구 통일로 731,3397,다사496569,126.9294663,37.61062266
증산종합시장,서울은평구,서울,은평구,은평구,1138064000,증산동,1.14E+11,서울 은평구 증산로3길 12,3500,다사474537,126.9050616,37.58146885
광장시장,서울종로구,서울,종로구,종로구,1111061500,종로1.2.3.4가동,1.11E+11,서울 종로구 창경궁로 88,3195,다사558524,126.9997072,37.57011251
동대문종합시장,서울종로구,서울,종로구,종로구,1111063000,종로5.6가동,1.11E+11,서울 종로구 종로 266,3198,다사564524,127.0073287,37.57070649
동대문종합시장D동상가,서울종로구,서울,종로구,종로구,1111063000,종로5.6가동,1.11E+11,서울 종로구 종로 266,3198,다사564524,127.0073287,37.57070649
동문시장㈜,서울종로구,서울,종로구,종로구,1111067000,창신1동,1.11E+11,서울 종로구 종로44길 14,3119,다사568524,127.011128,37.57051095
신설종합시장,서울종로구,서울,종로구,종로구,1111071000,숭인2동,1.11E+11,서울 종로구 난계로27길 51,3117,다사576526,127.0203448,37.57266959
종로신진시장,서울종로구,서울,종로구,종로구,1111063000,종로5.6가동,1.11E+11,서울 종로구 종로38길 16,3197,다사562524,127.0049462,37.57022828
통인시장,서울종로구,서울,종로구,종로구,1111051500,청운효자동,1.11E+11,서울 종로구 자하문로15길 18,3036,다사531536,126.9699476,37.580767
한일상가,서울종로구,서울,종로구,종로구,1111063000,종로5.6가동,1.11E+11,서울 종로구 청계천로 229,3196,다사561524,127.003025,37.5701341
동대문종합시장 신관(동대문쇼핑타운),서울종로구,서울,종로구,종로구,1111063000,종로5.6가동,1.11E+11,서울 종로구 종로 272,3198,다사565524,127.0080914,37.57081871
광희패션몰,서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 마장로1길 21,4567,다사568522,127.0119155,37.56867293
남대문시장,서울중구,서울,중구,중구,1114054000,회현동,1.11E+11,서울 중구 남대문시장4길 21,4529,다사538512,126.9776537,37.55918636
남평화시장,서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 장충단로 282-10,4567,다사568523,127.010836,37.5691712
대림상가,서울중구,서울,중구,중구,1114060500,을지로동,1.11E+11,서울 중구 을지로 201,4546,다사558520,127.0004085,37.56693065
동평화시장,서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 청계천로 318,4568,다사570523,127.0137915,37.56935658
동화상가,서울중구,서울,중구,중구,1114059000,광희동,1.11E+11,서울 중구 장충단로13길 34,4563,다사564522,127.006912,37.56860486
방산종합시장,서울중구,서울,중구,중구,1114060500,을지로동,1.11E+11,서울 중구 동호로37길 20,4546,다사559522,127.0008056,37.56872417
에리어식스(벨포스트),서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 마장로 19,4567,다사569521,127.011974,37.56814161
삼익패션타운,서울중구,서울,중구,중구,1114054000,회현동,1.11E+11,서울 중구 남대문시장8길 7,4529,다사539513,126.9789566,37.56043529
서울중앙시장,서울중구,서울,중구,중구,1114067000,황학동,1.11E+11,서울 중구 퇴계로85길 36,4576,다사575521,127.0197632,37.56738265
숭례문수입상가,서울중구,서울,중구,중구,1114054000,회현동,1.11E+11,서울 중구 소월로 3,4528,다사537512,126.9762025,37.55937186
신중부시장,서울중구,서울,중구,중구,1114059000,광희동,1.11E+11,서울 중구 을지로30길 29,4547,다사557519,126.9994062,37.56553374
신중앙시장,서울중구,서울,중구,중구,1114067000,황학동,1.11E+11,서울 중구 퇴계로85길 36,4576,다사575521,127.0197632,37.56738265
신평화패션타운,서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 청계천로 298,4567,다사568523,127.0110696,37.56945382
약수시장,서울중구,서울,중구,중구,1114063500,약수동,1.11E+11,서울 중구 다산로 114-7,4597,다사567506,127.0107651,37.55403383
자유상가,서울중구,서울,중구,중구,1114054000,회현동,1.11E+11,서울 중구 남대문로 36,4529,다사540514,126.9797671,37.56095855
제일평화시장,서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 마장로 13,4567,다사568522,127.0114021,37.56851432
청평화시장,서울중구,서울,중구,중구,1114061500,신당동,1.11E+11,서울 중구 청계천로 334,4568,다사571523,127.0149365,37.56946664
통일상가,서울중구,서울,중구,중구,1114059000,광희동,1.11E+11,서울 중구 청계천로 260-14,4563,다사564522,127.0063163,37.5689078
