시장명,지자체,시도명,시군구명,행정동코드,행정동명,위치경도,위치위도,인구수,시군구시장수,시군구상점수,시설인구수,시장유형명,시장운영기간,화장실존재여부,주차장존재여부
돌곶이시장(구 석관황금시장),서울성북구,서울,성북구,1129081000,석관동,127.0616578,37.60950239,399535,6,574,696,상설장,매일,Y,N
장위전통시장,서울성북구,서울,성북구,1129077000,장위2동,127.0513393,37.61033453,399535,6,574,696,상설장,매일,Y,Y
정릉시장,서울성북구,서울,성북구,1129065000,정릉4동,127.0096809,37.60847133,399535,6,574,696,상설장,매일,Y,Y
정릉아리랑시장,서울성북구,서울,성북구,1129063000,정릉2동,127.0110392,37.60276767,399535,6,574,696,상설장,매일,N,N
마천시장,서울송파구,서울,송파구,1171055000,마천2동,127.1506963,37.49808049,567783,6,671,846,상설장,매일,Y,N
마천중앙시장,서울송파구,서울,송파구,1171055000,마천2동,127.1513355,37.4984143,567783,6,671,846,상설장,매일,Y,Y
방이시장,서울송파구,서울,송파구,1171056200,방이2동,127.1178662,37.50995241,567783,6,671,846,상설장,매일,Y,Y
새마을시장,서울송파구,서울,송파구,1171065000,잠실본동,127.0849001,37.50908943,567783,6,671,846,상설장,매일,Y,Y
석촌시장,서울송파구,서울,송파구,1171060000,석촌동,127.1065252,37.50017287,567783,6,671,846,상설장,매일,Y,Y
풍납시장,서울송파구,서울,송파구,1171051000,풍납1동,127.1194927,37.53756487,567783,6,671,846,상설장,매일,Y,Y
경창시장,서울양천구,서울,양천구,1147057000,신월2동,126.8421214,37.52493416,362776,9,701,517,상설장,매일,Y,Y
목2동시장,서울양천구,서울,양천구,1147052000,목2동,126.8738866,37.5460499,362776,9,701,517,상설장,매일,Y,N
목동깨비시장 (목3동시장),서울양천구,서울,양천구,1147053000,목3동,126.8652286,37.54818453,362776,9,701,517,상설장,매일,Y,Y
목사랑시장 (목4동시장),서울양천구,서울,양천구,1147054000,목4동,126.866218,37.53761613,362776,9,701,517,상설장,매일,Y,Y
신월1동신영시장,서울양천구,서울,양천구,1147056000,신월1동,126.8360249,37.53301405,362776,9,701,517,상설장,매일,Y,Y
우성상가시장,서울양천구,서울,양천구,1147061100,신월7동,126.8335711,37.52265956,362776,9,701,517,상설장,매일,Y,Y
월정로시장,서울양천구,서울,양천구,1147056000,신월1동,126.8356887,37.53347273,362776,9,701,517,상설장,매일,Y,N
대림중앙시장,서울영등포구,서울,영등포구,1156071000,대림2동,126.9012678,37.49038353,408384,8,1951,209,상설장,매일,Y,N
대신시장,서울영등포구,서울,영등포구,1156063000,신길1동,126.9175856,37.51115621,408384,8,1951,209,상설장,매일,Y,N
동남상가,서울영등포구,서울,영등포구,1156053500,영등포동,126.9056598,37.52059746,408384,8,1951,209,상설장,매일,Y,N
삼구시장,서울영등포구,서울,영등포구,1156053500,영등포동,126.9057495,37.52014415,408384,8,1951,209,상설장,매일,Y,N
영신상가,서울영등포구,서울,영등포구,1156053500,영등포동,126.9066547,37.51992006,408384,8,1951,209,상설장,매일,Y,N
영일시장,서울영등포구,서울,영등포구,1156060500,문래동,126.9007193,37.51613516,408384,8,1951,209,상설장,매일,Y,Y
영진시장(A동),서울영등포구,서울,영등포구,1156068000,신길6동,126.9158527,37.50044717,408384,8,1951,209,상설장,매일,Y,N
만리시장,서울용산구,서울,용산구,1117055500,청파동,126.963696,37.5513334,228398,7,533,428,상설장,매일,Y,N
보광시장,서울용산구,서울,용산구,1117070000,보광동,127.0002892,37.52719632,228398,7,533,428,상설장,매일,Y,Y
신흥시장,서울용산구,서울,용산구,1117052000,용산2가동,126.9850855,37.54532379,228398,7,533,428,상설장,매일,Y,N
용산용문시장,서울용산구,서울,용산구,1117059000,용문동,126.9597957,37.53662269,228398,7,533,428,상설장,매일,Y,Y
이촌종합시장,서울용산구,서울,용산구,1117063000,이촌1동,126.9747838,37.52073939,228398,7,533,428,상설장,매일,Y,Y
이태원시장,서울용산구,서울,용산구,1117065000,이태원1동,126.9900484,37.53381836,228398,7,533,428,상설장,매일,Y,N
후암시장,서울용산구,서울,용산구,1117051000,후암동,126.9767077,37.55042316,228398,7,533,428,상설장,매일,Y,Y
대림골목시장,서울은평구,서울,은평구,1138060000,응암3동,126.9175082,37.58791373,388102,7,558,695,상설장,매일,Y,N
대림시장,서울은평구,서울,은평구,1138060000,응암3동,126.9175785,37.58653706,388102,7,558,695,상설장,매일,Y,Y
대조시장,서울은평구,서울,은평구,1138057000,대조동,126.9276,37.6093215,388102,7,558,695,상설장,매일,Y,Y
신응암시장,서울은평구,서울,은평구,1138059000,응암2동,126.9186943,37.5939075,388102,7,558,695,상설장,매일,Y,Y
연서시장,서울은평구,서울,은평구,1138053000,불광2동,126.922172,37.61969094,388102,7,558,695,상설장,매일,Y,Y
제일시장,서울은평구,서울,은평구,1138057000,대조동,126.9294663,37.61062266,388102,7,558,695,상설장,매일,Y,N
증산종합시장,서울은평구,서울,은평구,1138064000,증산동,126.9050616,37.58146885,388102,7,558,695,상설장,매일,Y,Y
광장시장,서울종로구,서울,종로구,1111061500,종로1.2.3.4가동,126.9997072,37.57011251,158492,9,6943,22,상설장,매일,Y,Y
동대문종합시장,서울종로구,서울,종로구,1111063000,종로5.6가동,127.0073287,37.57070649,158492,9,6943,22,상설장,매일,Y,Y
동대문종합시장D동상가,서울종로구,서울,종로구,1111063000,종로5.6가동,127.0073287,37.57070649,158492,9,6943,22,상설장,매일,Y,N
동문시장㈜,서울종로구,서울,종로구,1111067000,창신1동,127.011128,37.57051095,158492,9,6943,22,상설장,매일,Y,N
신설종합시장,서울종로구,서울,종로구,1111071000,숭인2동,127.0203448,37.57266959,158492,9,6943,22,상설장,매일,Y,N
종로신진시장,서울종로구,서울,종로구,1111063000,종로5.6가동,127.0049462,37.57022828,158492,9,6943,22,상설장,매일,Y,N
통인시장,서울종로구,서울,종로구,1111051500,청운효자동,126.9699476,37.580767,158492,9,6943,22,상설장,매일,Y,N
한일상가,서울종로구,서울,종로구,1111063000,종로5.6가동,127.003025,37.5701341,158492,9,6943,22,상설장,매일,Y,Y
동대문종합시장 신관(동대문쇼핑타운),서울종로구,서울,종로구,1111063000,종로5.6가동,127.0080914,37.57081871,158492,9,6943,22,상설장,매일,Y,Y
광희패션몰,서울중구,서울,중구,1114061500,신당동,127.0119155,37.56867293,138972,25,21486,6,상설장,매일,Y,Y
남대문시장,서울중구,서울,중구,1114054000,회현동,126.9776537,37.55918636,138972,25,21486,6,상설장,매일,Y,N
남평화시장,서울중구,서울,중구,1114061500,신당동,127.010836,37.5691712,138972,25,21486,6,상설장,매일,Y,Y
대림상가,서울중구,서울,중구,1114060500,을지로동,127.0004085,37.56693065,138972,25,21486,6,상설장,매일,Y,Y
동평화시장,서울중구,서울,중구,1114061500,신당동,127.0137915,37.56935658,138972,25,21486,6,상설장,매일,Y,Y
동화상가,서울중구,서울,중구,1114059000,광희동,127.006912,37.56860486,138972,25,21486,6,상설장,매일,Y,Y
방산종합시장,서울중구,서울,중구,1114060500,을지로동,127.0008056,37.56872417,138972,25,21486,6,상설장,매일,Y,Y
에리어식스(벨포스트),서울중구,서울,중구,1114061500,신당동,127.011974,37.56814161,138972,25,21486,6,상설장,매일,Y,Y
삼익패션타운,서울중구,서울,중구,1114054000,회현동,126.9789566,37.56043529,138972,25,21486,6,상설장,매일,Y,Y
서울중앙시장,서울중구,서울,중구,1114067000,황학동,127.0197632,37.56738265,138972,25,21486,6,상설장,매일,Y,N
숭례문수입상가,서울중구,서울,중구,1114054000,회현동,126.9762025,37.55937186,138972,25,21486,6,상설장,매일,Y,Y
신중부시장,서울중구,서울,중구,1114059000,광희동,126.9994062,37.56553374,138972,25,21486,6,상설장,매일,Y,Y
신중앙시장,서울중구,서울,중구,1114067000,황학동,127.0197632,37.56738265,138972,25,21486,6,상설장,매일,Y,N
신평화패션타운,서울중구,서울,중구,1114061500,신당동,127.0110696,37.56945382,138972,25,21486,6,상설장,매일,Y,N
약수시장,서울중구,서울,중구,1114063500,약수동,127.0107651,37.55403383,138972,25,21486,6,상설장,매일,Y,N
자유상가,서울중구,서울,중구,1114054000,회현동,126.9797671,37.56095855,138972,25,21486,6,상설장,매일,Y,N
제일평화시장,서울중구,서울,중구,1114061500,신당동,127.0114021,37.56851432,138972,25,21486,6,상설장,매일,Y,Y
청평화시장,서울중구,서울,중구,1114061500,신당동,127.0149365,37.56946664,138972,25,21486,6,상설장,매일,Y,Y
통일상가,서울중구,서울,중구,1114059000,광희동,127.0063163,37.5689078,138972,25,21486,6,상설장,매일,Y,N
평화시장,서울중구,서울,중구,1114059000,광희동,127.0080476,37.56942586,138972,25,21486,6,상설장,매일,Y,Y
황학시장,서울중구,서울,중구,1114067000,황학동,127.0197632,37.56738265,138972,25,21486,6,상설장,매일,N,N
동성타워프라자,서울중랑구,서울,중랑구,1126068000,신내1동,127.0972055,37.6080276,333193,12,1059,314,상설장,매일,Y,Y
동원전통종합시장,서울중랑구,서울,중랑구,1126056500,면목본동,127.092107,37.5898242,333193,12,1059,314,상설장,매일,Y,Y
면목골목시장,서울중랑구,서울,중랑구,1126057000,면목7동,127.0844361,37.57748534,333193,12,1059,314,상설장,매일,Y,Y
사가정시장,서울중랑구,서울,중랑구,1126057500,면목3.8동,127.0893792,37.58108117,333193,12,1059,314,상설장,매일,N,N
신아타운,서울중랑구,서울,중랑구,1126069000,신내2동,127.094707,37.60645263,333193,12,1059,314,상설장,매일,Y,Y
우림골목시장,서울중랑구,서울,중랑구,1126065500,망우본동,127.0982722,37.59677182,333193,12,1059,314,상설장,매일,Y,Y
중랑교종합상가,서울중랑구,서울,중랑구,1126059000,상봉2동,127.0771147,37.59294806,333193,12,1059,314,상설장,매일,Y,Y
중랑동부시장(동부골목시장),서울중랑구,서울,중랑구,1126059000,상봉2동,127.0763254,37.59244203,333193,12,1059,314,상설장,매일,Y,Y
태능엔터피아,서울중랑구,서울,중랑구,1126061000,중화2동,127.0775053,37.59922257,333193,12,1059,314,상설장,매일,Y,Y
명지시장,부산강서구,부산,강서구,2644053500,명지1동,128.931598,35.11254126,109845,1,115,955,상설장,매일,Y,Y
구서오시게시장,부산금정구,부산,금정구,2641068000,구서1동,129.0897741,35.24735756,198602,8,746,266,상설장,매일,Y,Y
금사제일상가시장,부산금정구,부산,금정구,2641055500,금사회동동,129.1124628,35.22043665,198602,8,746,266,상설장,매일,Y,N
부곡상가시장,부산금정구,부산,금정구,2641057000,부곡1동,129.0915165,35.22548538,198602,8,746,266,상설장,매일,Y,N
서동시장,부산금정구,부산,금정구,2641053000,서3동,129.1023592,35.21641237,198602,8,746,266,상설장,매일,Y,Y
서동전통골목시장,부산금정구,부산,금정구,2641053000,서3동,129.1022459,35.21528357,198602,8,746,266,상설장,매일,Y,N
서동향토시장,부산금정구,부산,금정구,2641053000,서3동,129.1033546,35.21593693,198602,8,746,266,상설장,매일,Y,N
장성시장,부산금정구,부산,금정구,2641060000,장전1동,129.0855567,35.23744168,198602,8,746,266,상설장,매일,Y,N
장전상가시장,부산금정구,부산,금정구,2641061000,장전2동,129.086107,35.23084994,198602,8,746,266,상설장,매일,Y,N
기장시장,부산기장군,부산,기장군,2671025000,기장읍,129.215363,35.24406017,122427,1,149,821,상설장,매일,Y,Y
감만시장,부산남구,부산,남구,2629062000,감만1동,129.0821611,35.11634433,222496,11,1181,188,상설장,매일,Y,N
남광시장,부산남구,부산,남구,2629054000,대연4동,129.0887175,35.12392263,222496,11,1181,188,상설장,매일,Y,N
대연시장,부산남구,부산,남구,2629055000,대연5동,129.0884212,35.13567985,222496,11,1181,188,상설장,매일,Y,Y
동성하이타운시장,부산남구,부산,남구,2629051000,대연1동,129.087532,35.13357079,222496,11,1181,188,상설장,매일,Y,Y
못골골목시장,부산남구,부산,남구,2629055000,대연5동,129.0896366,35.13586148,222496,11,1181,188,상설장,매일,Y,Y
새감만종합시장,부산남구,부산,남구,2629062000,감만1동,129.0817109,35.1163335,222496,11,1181,188,상설장,매일,Y,Y
용호1동골목시장,부산남구,부산,남구,2629057000,용호1동,129.1102038,35.12436007,222496,11,1181,188,상설장,매일,Y,Y
용호골목시장,부산남구,부산,남구,2629059000,용호3동,129.1114604,35.11640737,222496,11,1181,188,상설장,매일,Y,Y
용호삼성시장,부산남구,부산,남구,2629057000,용호1동,129.1105376,35.12389935,222496,11,1181,188,상설장,매일,Y,N
용호시장,부산남구,부산,남구,2629058000,용호2동,129.1127729,35.114912,222496,11,1181,188,상설장,매일,Y,Y
우암골목시장,부산남구,부산,남구,2629064500,우암동,129.0705809,35.12643197,222496,11,1181,188,상설장,매일,Y,N
부산자유시장,부산동구,부산,동구,2617066000,범일2동,129.0610402,35.14097365,71745,9,3677,19,상설장,매일,Y,Y
부산남문시장,부산동구,부산,동구,2617066000,범일2동,129.058687,35.13592461,71745,9,3677,19,상설장,매일,Y,Y
