사업명,지원연도,시장명,지원금액(단위_백만원),지자체,시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,행정동명_x,위치위도_x,위치경도_x,상점수_x,가맹점수,가맹률,Unnamed: 0,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,배송서비스,장보기서비스,시도,시군구,청년몰점포수,행정동명_y,시장유형명,상점수_y,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도_y,위치경도_y,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
문화관광형시장,2019,중랑동부시장(동부골목시장),460.0,서울중랑구,11298.0,129.0,4.0,0.0,20.0,129.0,50.0,20.0,199.0,상봉2동,37.59244203,127.0763254,125.0,99.0,79.2,187.0,법적단체,121.0,125.0,0.968,1.0,1.0,,,,상봉2동,상설장,125.0,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,Y,37.59244203,127.0763254,12.0,1059.0,333193.0,314.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,2.0
청년몰활성화,2020,김해전통시장(김해동상시장),150.0,경남김해시,7157.0,152.0,0.0,18.0,0.0,152.0,10.0,0.0,162.0,동상동,35.23623779,128.8838588,170.0,119.0,70.0,1165.0,법적단체,152.0,170.0,0.894117647,1.0,1.0,경남,김해시,14.0,동상동,상설장,170.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,35.23623779,128.8838588,6.0,558.0,472778.0,847.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
청년몰활성화,2019,뚝도시장,150.0,서울성동구,4254.0,130.0,0.0,0.0,1.0,130.0,30.0,1.0,161.0,성수2가1동,37.53780064,127.054827,133.0,34.0,25.56390977,107.0,법적단체,130.0,133.0,0.977443609,0.0,1.0,,,,성수2가1동,상설장,133.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.53780064,127.054827,4.0,2312.0,271897.0,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2019,뚝섬역상점가,440.0,서울성동구,21518.0,180.0,1.0,0.0,0.0,180.0,240.0,0.0,420.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
첫걸음기반조성,2022,루원음식문화거리,162.0,인천서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2016,르네시떼시장,1620.0,부산사상구,23702.0,1620.0,1000.0,0.0,0.0,1620.0,150.0,0.0,1770.0,,,,,,,262.0,법적단체,660.0,2620.0,0.251908397,1.0,1.0,,,,괘법동,상설장,2620.0,매일,"의류/신발,가정용품,음식점업,기타소매업,근린생활서비스",Y,Y,35.16433608,128.9777161,18.0,6251.0,183547.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0
문화관광형시장,2021,르네시떼시장,264.0,부산사상구,23702.0,1620.0,1000.0,0.0,0.0,1620.0,150.0,0.0,1770.0,,,,,,,262.0,법적단체,660.0,2620.0,0.251908397,1.0,1.0,,,,괘법동,상설장,2620.0,매일,"의류/신발,가정용품,음식점업,기타소매업,근린생활서비스",Y,Y,35.16433608,128.9777161,18.0,6251.0,183547.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0
문화관광형시장,2023,마산어시장,220.0,경남창원시,190000.0,654.0,30.0,0.0,150.0,654.0,180.0,150.0,984.0,오동동,35.20376172,128.578956,669.0,492.0,73.5426009,1233.0,법적단체,642.0,669.0,0.959641256,1.0,1.0,,,,오동동,상설장,669.0,매일,"농산물,수산물,가공식품,음식점업,기타소매업",Y,Y,35.20376172,128.578956,15.0,2465.0,142062.0,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2019,마산어시장,300.0,광주동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2016,마장축산물시장,1620.0,서울성동구,11515.0,843.0,0.0,0.0,76.0,843.0,4643.0,76.0,5562.0,마장동,37.57068248,127.0412753,1900.0,403.0,21.21052632,108.0,법적단체,597.0,1900.0,0.314210526,1.0,1.0,,,,마장동,상설장,1900.0,매일,"축산물,가공식품",Y,Y,37.57068248,127.0412753,4.0,2312.0,271897.0,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2017,말바우시장,1580.0,광주북구,68712.0,169.0,0.0,4.0,491.0,169.0,50.0,491.0,710.0,우산동,35.17297793,126.9213607,515.0,405.0,78.6407767,508.0,법적단체,511.0,515.0,0.99223301,1.0,1.0,,,,우산동,상설장+3일장,515.0,2일+4일+7일+9일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.17297793,126.9213607,4.0,705.0,356078.0,505.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2021,말바우시장,300.0,광주북구,68712.0,169.0,0.0,4.0,491.0,169.0,50.0,491.0,710.0,우산동,35.17297793,126.9213607,515.0,405.0,78.6407767,508.0,법적단체,511.0,515.0,0.99223301,1.0,1.0,,,,우산동,상설장+3일장,515.0,2일+4일+7일+9일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.17297793,126.9213607,4.0,705.0,356078.0,505.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2022,말바우시장,228.0,광주북구,68712.0,169.0,0.0,4.0,491.0,169.0,50.0,491.0,710.0,우산동,35.17297793,126.9213607,515.0,405.0,78.6407767,508.0,법적단체,511.0,515.0,0.99223301,1.0,1.0,,,,우산동,상설장+3일장,515.0,2일+4일+7일+9일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.17297793,126.9213607,4.0,705.0,356078.0,505.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
