사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
문화관광형시장,하동공설시장,경남하동군,하동읍,3756,21,312,9.0,2,0.0,58434.0,0.0,19,2354,0,1.8,3
문화관광형시장,지리산함양시장,경남함양군,함양읍,6195,14,207,2.0,1,1.0,52213.0,2.0,27,4823,0,1.6,5
문화관광형시장,경산공설시장,경북경산시,중앙동,2271,21,147,2.0,15,0.0,348490.0,2.0,78,1897,0,2.9,3
디지털전통시장,하양공설시장,경북경산시,하양읍,7613,6,19,2.0,10,0.0,348490.0,2.0,85,11769,0,2.9,6
문화관광형시장,경주중앙시장,경북경주시,성건동,5435,38,251,1.0,2,1.0,333853.0,2.0,45,4154,0,2.1,8
문화관광형시장,고령대가야시장,경북고령군,대가야읍,3716,6,207,2.0,0,0.0,40625.0,0.0,18,2335,0,1.3,3
문화관광형시장,구미새마을중앙시장,경북구미시,원평동,2293,6,78,6.0,3,1.0,508677.0,2.0,83,1402,0,3.2,28
문화관광형시장,평화시장,경북김천시,평화남산동,3363,3,352,1.0,4,0.0,177868.0,3.0,36,1687,0,2.1,8
청년몰활성화,평화시장,경북김천시,평화남산동,3363,3,352,1.0,4,0.0,177868.0,3.0,36,1687,0,2.1,8
문화관광형시장,가은아자개시장,경북문경시,가은읍,1897,0,61,5.0,1,2.0,91835.0,0.0,16,434,0,1.9,3
문화관광형시장,문경전통시장,경북문경시,문경읍,3024,0,79,5.0,4,1.0,91835.0,0.0,12,1013,0,1.9,2
디지털전통시장,문경중앙시장,경북문경시,점촌3동,3258,23,364,5.0,6,1.0,91835.0,2.0,18,2352,0,1.9,1
문화관광형시장,문경중앙시장,경북문경시,점촌3동,3258,23,364,5.0,6,1.0,91835.0,2.0,18,2352,0,1.9,1
청년몰활성화,문경중앙시장,경북문경시,점촌3동,3258,23,364,5.0,6,1.0,91835.0,2.0,18,2352,0,1.9,1
문화관광형시장,봉화춘양시장(춘양시장),경북봉화군,춘양면,2422,4,61,3.0,1,0.0,42427.0,0.0,11,662,0,0.9,0
문화관광형시장,상주중앙시장,경북상주시,남원동,3811,11,154,2.0,5,1.0,131282.0,0.0,18,3404,0,1.2,9
문화관광형시장,중앙신시장,경북안동시,서구동,3202,62,0,2.0,4,0.0,212917.0,3.0,4,2249,0,0.8,7
문화관광형시장,선비골전통시장,경북영주시,영주1동,1844,15,407,5.0,12,1.0,137024.0,3.0,38,748,0,1.2,5
