사업명,지원연도,시장명,지원금액(단위_백만원),지자체,배송서비스,장보기서비스,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만),시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,청년몰점포수,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,가맹점수,가맹률
문화관광형시장,2021,거제고현시장,230.0,경남거제시,1.0,1.0,고현동,상설장,207.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,34.88625809,128.6236545,10.0,758.0,198333.0,261.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,2.0,972.0,56.0,14.0,0.0,6.0,56.0,28.0,6.0,90.0,,법적단체,175.0,207.0,0.8454106280193237,,
문화관광형시장,2022,거제고현시장,200.0,경남거제시,1.0,1.0,고현동,상설장,207.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,34.88625809,128.6236545,10.0,758.0,198333.0,261.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,2.0,972.0,56.0,14.0,0.0,6.0,56.0,28.0,6.0,90.0,,법적단체,175.0,207.0,0.8454106280193237,,
문화관광형시장,2017,거제고현종합시장,1540.0,경남거제시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화관광형시장,2021,거창시장,184.0,경남거창군,1.0,1.0,거창읍,상설장+5일장,265.0,1일+6일,"농산물,수산물,의류/신발,가정용품,기타소매업",Y,Y,35.68686191,127.9141186,1.0,265.0,46256.0,174.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,9376.0,260.0,9.0,14.0,20.0,260.0,40.0,20.0,320.0,,법적단체,260.0,265.0,0.981132075471698,,
문화관광형시장,2022,거창시장,160.0,경남거창군,1.0,1.0,거창읍,상설장+5일장,265.0,1일+6일,"농산물,수산물,의류/신발,가정용품,기타소매업",Y,Y,35.68686191,127.9141186,1.0,265.0,46256.0,174.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,9376.0,260.0,9.0,14.0,20.0,260.0,40.0,20.0,320.0,,법적단체,260.0,265.0,0.981132075471698,,
청년몰활성화,2022,거창전통시장,180.0,경남거창군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년몰활성화,2023,거창전통시장,150.0,경남거창군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년몰활성화,2020,경동시장,150.0,서울동대문구,1.0,1.0,제기동,상설장,678.0,매일,"농산물,수산물,근린생활서비스",Y,Y,37.57878423,127.0396587,16.0,2914.0,340094.0,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,1.0,1.0,9900.0,516.0,40.0,0.0,73.0,516.0,760.0,73.0,1349.0,20.0,법적단체,362.0,678.0,0.5339233038348082,327.0,48.23008849557522
문화관광형시장,2022,경산공설시장,230.0,경북경산시,1.0,1.0,중앙동,상설장+5일장,204.0,5일+10일,"농산물,수산물,의류/신발,가정용품,기타소매업",Y,Y,35.82051858,128.7357579,3.0,373.0,234861.0,629.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,18576.0,162.0,100.0,0.0,20.0,162.0,40.0,20.0,222.0,,법적단체,161.0,204.0,0.7892156862745098,160.0,78.43137254901961
첫걸음기반조성,2020,경산공설시장,140.0,경북경산시,1.0,1.0,중앙동,상설장+5일장,204.0,5일+10일,"농산물,수산물,의류/신발,가정용품,기타소매업",Y,Y,35.82051858,128.7357579,3.0,373.0,234861.0,629.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,18576.0,162.0,100.0,0.0,20.0,162.0,40.0,20.0,222.0,,법적단체,161.0,204.0,0.7892156862745098,160.0,78.43137254901961
첫걸음기반조성,2023,경주성동공설시장,130.0,경북경주시,1.0,1.0,황오동,상설장,587.0,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,35.84554647,129.2162805,14.0,3210.0,218365.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,24866.0,540.0,6.0,0.0,69.0,540.0,100.0,69.0,709.0,,법적단체,556.0,587.0,0.9471890971039182,201.0,34.241908006814306
문화관광형시장,2018,경주중앙시장,860.0,경북경주시,1.0,1.0,성건동,상설장+5일장,716.0,2일+7일,"축산물,수산물,의류/신발,기타소매업",Y,Y,35.84396049,129.2067453,14.0,3210.0,218365.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,11053.0,600.0,36.0,0.0,50.0,600.0,200.0,50.0,850.0,,법적단체,636.0,716.0,0.888268156424581,176.0,24.581005586592177
문화관광형시장,2021,경주중앙시장,220.0,경북경주시,1.0,1.0,성건동,상설장+5일장,716.0,2일+7일,"축산물,수산물,의류/신발,기타소매업",Y,Y,35.84396049,129.2067453,14.0,3210.0,218365.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,11053.0,600.0,36.0,0.0,50.0,600.0,200.0,50.0,850.0,,법적단체,636.0,716.0,0.888268156424581,176.0,24.581005586592177
디지털전통시장,2023,경창시장,82.5,서울양천구,1.0,1.0,신월2동,상설장,50.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.52493416,126.8421214,9.0,701.0,362776.0,517.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,1.0,2.0,1860.0,50.0,0.0,0.0,10.0,50.0,61.0,10.0,121.0,,임의단체,50.0,50.0,1.0,69.0,138.0
디지털전통시장,2023,계산시장,97.5,인천계양구,1.0,1.0,계산1동,상설장,119.0,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.5392795,126.7248527,3.0,363.0,229796.0,633.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0,12429.0,110.0,2.0,0.0,20.0,110.0,100.0,18.0,228.0,,법적단체,115.0,119.0,0.9663865546218487,122.0,102.52100840336134
